"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.0713577270508","","","","","","","","","","96.7197799682617","","","","","","","","97.8126831054688","","98","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8995018005371","46.4724502563477","46.8800888061523","47.6213188171387","47.6002082824707","48.1196594238281","48.6890983581543","49.5695381164551","50.1319808959961","50.9164505004883","52.000560760498","52.3450508117676","53.199161529541","54.137939453125","54.987621307373","54.4439811706543","55.1360015869141","56.4275016784668","55.0191802978516","53.0803413391113","54.1406898498535","54.7104606628418","55.4534492492676","56.1631317138672","58.8045082092285","60.5798988342285","61.731258392334","62.3198699951172","63.1081390380859","64.2117080688477","64.4595336914063","65.0282135009766","66.3536224365234","66.8427581787109","","",
"Afghanistan","AFG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","4.98746013641357","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0178394317627","","","","","","","","","","22.6007804870605","",
"Africa Western and Central","AFW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","28.6566696166992","28.9525604248047","29.7958297729492","30.6703796386719","31.4570903778076","32.3526000976563","34.3389015197754","34.1919288635254","35.1367416381836","36.0617790222168","36.4939498901367","37.519458770752","38.6052894592285","39.881950378418","40.8100090026855","35.8349113464355","37.0996284484863","37.9957885742188","38.8046989440918","40.1053886413574","40.3649482727051","49.2909393310547","39.8815383911133","39.9072189331055","40.474681854248","41.2656097412109","42.0727310180664","42.8101806640625","43.4555892944336","44.6832084655762","45.6052589416504","46.3761596679688","47.4074211120605","50.963939666748","51.4354286193848","51.6396102905273","","",
"Angola","AGO","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.1944885253906","","","","","","","","","","","","","53.4072113037109","","","","","","","62.4000015258789","",
"Albania","ALB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2522735595703","","","","","","","94.6818084716797","","","95.6914825439453","96.1360702514648","","","","","","97.7611236572266","","","98.1999969482422","",
"Andorra","AND","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","30.335620880127","30.7993507385254","31.3404808044434","31.9458694458008","32.5951614379883","33.4044914245605","33.8584594726563","34.8480911254883","35.7265014648438","36.6858291625977","37.5367889404297","38.5994110107422","39.6374893188477","40.7424697875977","41.9388389587402","43.1266098022461","43.4190902709961","44.5688095092773","45.6531410217285","47.4569816589355","48.366039276123","49.7607688903809","51.0706596374512","52.5659484863281","53.6228294372559","55.0267295837402","57.3563194274902","58.6421699523926","58.5361099243164","58.4111213684082","58.8275299072266","60.171199798584","58.6872901916504","59.965690612793","62.1620483398438","65.9744186401367","65.0896377563477","66.8572692871094","65.4785995483398","67.2776184082031","68.580451965332","65.467399597168","65.8019485473633","66.3212966918945","","",
"United Arab Emirates","ARE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","38.124870300293","","","","","","","","","","68.6612777709961","","","","","","","","","","","","","","","","","","","","91.4747467041016","","","","","","","","","","","","","","94.4740982055664","","97.170768737793","",
"Argentina","ARG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","93.5808868408203","","","","","","","","","","","95.9169998168945","","","","","","","","","","97.1934127807617","","","","","98.5107727050781","","","99.0017623901367","98.9280700683594","98.9998397827148","99.0999526977539","99.0912094116211","98.9328231811523","99.2087707519531","99.1430969238281","","99.0620422363281","","","","",
