"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.5373992919922","","","","","","","","","","96.9405288696289","","","","","","","","97.8001327514648","","97.9700012207031","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.0201263427734","66.1198577880859","66.6211395263672","67.0205917358398","66.9636611938477","67.3317184448242","67.6685104370117","68.2274322509766","68.4692993164063","68.8485870361328","69.2528762817383","69.2552871704102","70.0171508789063","69.9672622680664","70.4761581420898","71.8715209960938","72.3152923583984","73.6881103515625","71.6340713500977","69.7946319580078","70.2234420776367","70.4628601074219","71.021110534668","71.5685424804688","73.2482070922852","74.6092681884766","75.458122253418","75.6935501098633","75.7670364379883","76.2354125976563","75.7905502319336","76.0387115478516","77.0041427612305","77.1398468017578","","",
"Afghanistan","AFG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","30.3077507019043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4170989990234","","","","","","","","","","52.0634307861328","",
"Africa Western and Central","AFW","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","52.8276596069336","53.0849609375","53.8305206298828","54.5951499938965","55.240650177002","55.9381904602051","56.1884384155273","57.2677116394043","57.9776802062988","58.6757583618164","58.4674911499023","59.0747299194336","59.9940299987793","61.5602607727051","62.1074104309082","59.4933891296387","60.6273498535156","61.1206893920898","60.662540435791","63.2318916320801","63.0601501464844","66.0123672485352","60.8583793640137","60.0810699462891","61.41748046875","61.5648002624512","62.0377082824707","62.5590705871582","62.9346694946289","63.8054809570313","64.5015869140625","64.8384704589844","65.8391036987305","68.435173034668","69.0091781616211","68.9017181396484","","",
"Angola","AGO","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.9198684692383","","","","","","","","","","","","","79.9741516113281","","","","","","","82.6399993896484","",
"Albania","ALB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.1876068115234","","","","","","","97.3061981201172","","","98.0081634521484","98.3526077270508","","","","","","98.5136184692383","","","98.6900024414063","",
"Andorra","AND","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","59.1413917541504","59.3685302734375","59.6347618103027","60.0324516296387","60.4738693237305","61.0031890869141","60.9659881591797","61.7033309936523","62.5043182373047","63.2931289672852","63.8047714233398","64.6951599121094","65.4499969482422","66.2715377807617","67.2534790039063","67.9371109008789","69.0625076293945","69.5828094482422","70.442268371582","71.4290008544922","72.1109771728516","73.057502746582","73.7990036010742","74.2406997680664","75.4141082763672","76.2389831542969","79.1718521118164","79.6983489990234","78.7983169555664","76.8419876098633","77.4317626953125","77.9793472290039","76.8233337402344","77.3994369506836","78.7867202758789","82.0321502685547","81.892951965332","82.5558700561523","80.9710311889648","81.9562072753906","82.4085998535156","79.7820205688477","79.9417114257813","80.2191619873047","","",
"United Arab Emirates","ARE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","58.3861083984375","","","","","","","","","","72.2742767333984","","","","","","","","","","","","","","","","","","","","89.4821014404297","","","","","","","","","","","","","","96.232307434082","","98.8145294189453","",
"Argentina","ARG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","94.2633895874023","","","","","","","","","","","96.1740570068359","","","","","","","","","","97.1931991577148","","","","","98.7271881103516","","","98.9627227783203","98.9853210449219","99.2283096313477","99.1111297607422","99.1560287475586","99.0612487792969","99.1482467651367","99.1049880981445","","98.9377365112305","","","","",
"Armenia","ARM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4038467407227","","","","","","","","","","","","99.672233581543","","","","","","","","","","99.8060836791992","","","","","99.8060836791992","99.8054962158203","","","99.8433227539063","","",
"American Samoa","ASM","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","97.4699630737305","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.4000015258789","","","","","","","","","","98.4000015258789","","","","98.4000015258789","","","","","","","",
"Australia","AUS","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Azerbaijan","AZE","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4724197387695","","","","","","","","99.8209686279297","","99.8426666259766","99.8544387817383","99.8566589355469","99.8528518676758","99.8659210205078","99.8620071411133","99.8626327514648","99.8640518188477","99.8637466430664","","99.8682403564453","","","",
"Burundi","BDI","Literacy rate, adult male (% of males ages 15 and above)","SE.ADT.LITR.MA.ZS","","","","","","","","","","","","","","","","","","","","34.2627105712891","","","","","","","","","","","48.2362518310547","","","","","","","","","","67.3069305419922","","","","","","","","53.1283912658691","","","","","","69.5872802734375","","","76.2960510253906","","","","81.3000030517578","",
